
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-06-13;20.940,61;2728511279047;21.362,27;2459575425827;21.310,54;3425551245678;20.956,16;290717891385;20.761,40;3530406375898
2010-06-14;21.026,52;2742122502834;21.454,97;2471323362481;21.391,53;3439519694420;21.044,85;291721125621;20.846,28;3551576523701
2010-06-15;21.124,82;2756590958793;21.562,14;2488052365104;21.498,08;3458301997113;21.162,70;291874154312;20.940,79;3566685533752
2010-06-16;21.283,93;2779984064075;21.679,99;2502631246418;21.641,63;3484070593755;21.291,52;293950913390;21.083,23;3592194606890
2010-06-17;21.287,71;2782797422738;21.681,88;2504810290762;21.637,22;3485958989157;21.305,26;296015651098;21.074,00;3593550903602
2010-06-18;21.342,81;2791384622691;21.758,36;2513456739206;21.688,82;3497631263526;21.367,74;296764878914;21.143,03;3605452073817
2010-06-19;21.342,81;2791384622691;21.758,36;2513456739206;21.688,82;3497631263526;21.367,74;296764878914;21.143,03;3605452073817
2010-06-20;21.342,81;2791384622691;21.758,36;2513456739206;21.688,82;3497631263526;21.367,74;296764878914;21.143,03;3605452073817
2010-06-21;21.485,11;2810691312008;21.884,10;2528943940194;21.809,57;3518303123272;21.470,41;297688358188;21.272,80;3627851898376
2010-06-22;21.641,18;2831996119345;22.044,65;2547957810438;21.944,12;3542488098062;21.629,63;299863785489;21.422,54;3653802492070
2010-06-23;21.570,10;2823453320196;21.984,71;2541513938490;21.875,52;3532693852748;21.561,53;298923433700;21.354,01;3642448789456
2010-06-24;21.541,66;2820257999676;21.958,41;2539487420419;21.860,30;3531612116168;21.533,98;298514341791;21.330,90;3639037135928
2010-06-25;21.526,72;2818777745880;21.913,95;2534552791427;21.814,56;3524469729569;21.476,90;297754889889;21.292,07;3633107631007
2010-06-26;21.526,72;2818777745880;21.913,95;2534552791427;21.814,56;3524469729569;21.476,90;297754889889;21.292,07;3633107631007
2010-06-27;21.526,72;2818777745880;21.913,95;2534552791427;21.814,56;3524469729569;21.476,90;297754889889;21.292,07;3633107631007
2010-06-28;21.526,72;2818777745880;21.913,95;2534552791427;21.814,56;3524469729569;21.476,90;297754889889;21.292,07;3633107631007
2010-06-29;21.537,89;2820302357114;21.928,65;2536786354745;21.842,88;3529703146307;21.498,22;298061786729;21.314,35;3637114476115
2010-06-30;21.315,40;2783126289187;21.701,66;2509763310647;21.601,44;3480481596077;21.258,94;293717320552;21.088,10;3598902769279
2010-07-01;21.313,73;2781100563842;21.679,44;2510435437555;21.604,81;3481404699422;21.247,90;291683428535;21.088,32;3596599535807
2010-07-02;21.198,99;2767049067350;21.565,46;2497449496533;21.507,78;3466808824078;21.154,43;290475028701;20.973,11;3561795659604
2010-07-03;21.198,99;2767049067350;21.565,46;2497449496533;21.507,78;3466808824078;21.154,43;290475028701;20.973,11;3561795659604
2010-07-04;21.198,99;2767049067350;21.565,46;2497449496533;21.507,78;3466808824078;21.154,43;290475028701;20.973,11;3561795659604
2010-07-05;21.135,37;2757769070745;21.495,72;2486345975539;21.444,96;3455693524060;21.114,16;289926524866;20.904,40;3550050596012
2010-07-06;21.128,52;2756172762202;21.494,06;2484753285192;21.426,41;3452190412755;21.117,27;291966827169;20.896,30;3548802010610
