
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-04-13;10.471,82;381927652020;10.349,66;772863426502;10.460,57;50378166374;10.395,81;69642392851;10.413,96;996789737600;10.348,67;359365915619;10.543,10;382599561097
2003-04-14;10.485,12;382533285382;10.350,40;773255056809;10.481,45;50510431090;10.400,29;69691410308;10.420,54;997413998774;10.353,82;359541906154;10.556,88;383175637926
2003-04-15;10.495,28;382987278200;10.360,76;774031765290;10.506,44;50662955618;10.424,14;69859478814;10.438,63;1000376704136;10.373,84;360594384406;10.577,27;383908392771
2003-04-16;10.538,22;385569581437;10.392,95;775983132377;10.523,24;50852822711;10.446,20;70546900444;10.458,59;1003271385481;10.402,18;362377407228;10.610,98;385383664437
2003-04-17;10.570,40;386733882691;10.417,29;777795714391;10.560,07;51066931493;10.479,03;70910748362;10.492,07;1006467333618;10.432,66;363567036768;10.642,78;386573007878
2003-04-18;10.570,40;386733882691;10.417,29;777795714391;10.560,07;51066931493;10.479,03;70910748362;10.492,07;1006467333618;10.432,66;363567036768;10.642,78;386573007878
2003-04-19;10.570,40;386733882691;10.417,29;777795714391;10.560,07;51066931493;10.479,03;70910748362;10.492,07;1006467333618;10.432,66;363567036768;10.642,78;386573007878
2003-04-20;10.570,40;386733882691;10.417,29;777795714391;10.560,07;51066931493;10.479,03;70910748362;10.492,07;1006467333618;10.432,66;363567036768;10.642,78;386573007878
2003-04-21;10.581,11;387320348937;10.422,45;778164488985;10.568,91;51131586411;10.489,20;70995708364;10.505,26;1008189740011;10.443,79;364010108267;10.659,38;387419601085
2003-04-22;10.606,90;388389943154;10.449,92;780188779065;10.589,62;51277562407;10.511,43;71147797558;10.529,50;1010503619207;10.468,69;364872201296;10.684,71;388771738020
2003-04-23;10.626,42;389464164875;10.475,96;784902663581;10.623,85;51478651878;10.527,48;71301767103;10.546,94;1012162893419;10.482,13;365155847746;10.707,57;390152767240
2003-04-24;10.641,85;391185232461;10.483,43;784475677785;10.628,61;51525168852;10.541,39;71396059514;10.557,19;1013135840210;10.488,72;365389953172;10.714,90;391553170750
2003-04-25;10.692,60;393879441772;10.528,07;789429601357;10.660,96;51514588739;10.589,66;71747580154;10.614,80;1018636619724;10.543,86;370103635427;10.756,81;393561518418
2003-04-26;10.692,60;393879441772;10.528,07;789429601357;10.660,96;51514588739;10.589,66;71747580154;10.614,80;1018636619724;10.543,86;370103635427;10.756,81;393561518418
2003-04-27;10.692,60;393879441772;10.528,07;789429601357;10.660,96;51514588739;10.589,66;71747580154;10.614,80;1018636619724;10.543,86;370103635427;10.756,81;393561518418
2003-04-28;10.701,03;394759409822;10.548,17;790929273877;10.681,98;51668869777;10.606,51;72060110886;10.633,24;1020246373720;10.563,07;370775216244;10.779,01;394382416199
2003-04-29;10.676,43;394369169140;10.527,40;789603298973;10.681,08;51742535994;10.591,56;72124219389;10.621,78;1030888619798;10.546,33;370181449901;10.754,07;395203283355
2003-04-30;10.711,79;396419721461;10.548,83;795901681867;10.709,74;51880694049;10.614,92;72416631648;10.645,19;1033116241948;10.568,83;372125436855;10.781,14;396770608408
2003-05-01;10.711,79;396419721461;10.548,83;795901681867;10.709,74;51880694049;10.614,92;72416631648;10.645,19;1033116241948;10.568,83;372125436855;10.781,14;396770608408
2003-05-02;10.765,97;398522613564;10.595,02;799368941333;10.757,82;52113629246;10.669,85;72791313316;10.707,40;1039148250907;10.628,10;374199611760;10.849,26;399277739225
2003-05-03;10.765,97;398522613564;10.595,02;799368941333;10.757,82;52113629246;10.669,85;72791313316;10.707,40;1039148250907;10.628,10;374199611760;10.849,26;399277739225
2003-05-04;10.765,97;398522613564;10.595,02;799368941333;10.757,82;52113629246;10.669,85;72791313316;10.707,40;1039148250907;10.628,10;374199611760;10.849,26;399277739225
2003-05-05;10.809,77;400122203623;10.618,49;801117430219;10.808,77;52358110592;10.714,60;73096089377;10.747,03;1043016006280;10.668,01;375597123586;10.893,12;400861575204
2003-05-06;10.857,96;401871572104;10.656,12;803865373025;10.842,45;52520952108;10.753,92;73378659883;10.788,93;1047058617929;10.711,82;377112488653;10.937,66;402554533937
2003-05-07;10.912,31;403904101144;10.693,37;806714021170;10.876,13;52690845713;10.784,63;73588336347;10.817,09;1049756264247;10.750,78;378643014888;10.978,10;404635358492
2003-05-08;10.890,52;403085540083;10.672,24;805107530391;10.852,29;52583289115;10.763,22;73522673010;10.797,85;1047873815411;10.726,93;377770990493;10.955,11;403997488498
2003-05-09;10.902,39;403501759381;10.688,56;806841127698;10.859,77;52622919928;10.776,50;73610778354;10.805,63;1048601149958;10.740,93;378381419862;10.964,56;404370812874
2003-05-10;10.902,39;403501759381;10.688,56;806841127698;10.859,77;52622919928;10.776,50;73610778354;10.805,63;1048601149958;10.740,93;378381419862;10.964,56;404370812874
2003-05-11;10.902,39;403501759381;10.688,56;806841127698;10.859,77;52622919928;10.776,50;73610778354;10.805,63;1048601149958;10.740,93;378381419862;10.964,56;404370812874
