
Valores Confirmados

Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2000-10-07;10.000,00;0;10.777,03;1069307256;9.511,33;464991679;18.465,55;41339745;10.674,47;23270445;10.546,91;1685985554;10.616,41;605059160;10.674,74;311105983
2000-10-08;10.000,00;0;10.777,03;1069307256;9.511,33;464991679;18.465,55;41339745;10.674,47;23270445;10.546,91;1685985554;10.616,41;605059160;10.674,74;311105983
2000-10-09;10.000,00;0;10.777,03;1069307256;9.511,33;464991679;18.465,55;41339745;10.674,47;23270445;10.546,91;1685985554;10.616,41;605059160;10.674,74;311105983
2000-10-10;10.000,00;0;10.792,97;1070888855;9.528,34;465823522;18.505,81;41429884;10.681,44;23066990;10.570,86;1678943920;10.636,37;606196564;10.702,14;310879926
2000-10-11;10.000,00;0;10.796,38;1070597353;9.537,69;466632014;18.526,27;41475686;10.696,88;23100341;10.571,06;1678985892;10.641,37;606414190;10.694,08;310645769
2000-10-12;10.000,00;0;10.802,01;1063394787;9.541,93;466839362;18.536,40;41498359;10.702,63;23112767;10.572,51;1679215527;10.647,91;606786942;10.692,00;310585554
2000-10-13;10.000,00;0;10.822,35;1129271627;9.552,04;467334015;18.550,25;41529383;10.713,94;23068503;10.581,05;1853403752;10.657,99;677994462;10.705,47;310976892
2000-10-14;10.000,00;0;10.822,35;1129271627;9.552,04;467334015;18.550,25;41529383;10.713,94;23068503;10.581,05;1853403752;10.657,99;677994462;10.705,47;310976892
2000-10-15;10.000,00;0;10.822,35;1129271627;9.552,04;467334015;18.550,25;41529383;10.713,94;23068503;10.581,05;1853403752;10.657,99;677994462;10.705,47;310976892
2000-10-16;10.000,00;0;10.832,43;1130323400;9.563,00;465491568;18.582,94;41602546;10.721,15;23084029;10.588,68;1854738972;10.669,75;678742329;10.713,51;311210267
2000-10-17;10.000,00;0;10.848,46;1131996162;9.562,80;465481868;18.574,17;41582921;10.726,14;23094773;10.606,46;1857853574;10.671,91;678918613;10.735,29;311843028
2000-10-18;10.000,00;0;10.856,51;1132836713;9.571,07;465884251;18.585,49;41608267;10.731,72;23106797;10.618,12;1859895657;10.677,65;679278663;10.749,44;312265887
2000-10-19;10.000,00;0;10.846,53;1131795333;9.572,55;486287113;18.588,63;41615301;10.735,95;23115887;10.622,08;1860589836;10.684,17;679835357;10.752,21;312492859
2000-10-20;10.000,00;0;10.863,36;1133551198;9.579,11;486620004;18.611,70;41666936;10.747,06;23139816;10.618,01;1859876481;10.683,39;679849688;10.769,13;313092046
2000-10-21;10.000,00;0;10.863,36;1133551198;9.579,11;486620004;18.611,70;41666936;10.747,06;23139816;10.618,01;1859876481;10.683,39;679849688;10.769,13;313092046
2000-10-22;10.000,00;0;10.863,36;1133551198;9.579,11;486620004;18.611,70;41666936;10.747,06;23139816;10.618,01;1859876481;10.683,39;679849688;10.769,13;313092046
2000-10-23;10.000,00;0;10.878,32;1135111656;9.596,26;487887267;18.640,26;41730884;10.763,70;23175648;10.634,85;1862826179;10.699,46;681039357;10.790,81;313722320
2000-10-24;10.000,00;0;10.881,78;1135472683;9.595,60;487853562;18.652,97;41759331;10.759,38;23166344;10.638,56;1863477311;10.708,80;681761409;10.794,19;313875587
2000-10-25;10.000,00;0;10.903,40;1179272888;9.597,73;487962187;18.663,54;41782996;10.765,59;23180687;10.649,13;1865328765;10.712,21;681978250;10.808,77;314443700
