
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-04-19;21.036,72;982670026544;22.449,00;1032031736836;19.999,17;1307085478653;36.581,05;103479462816;21.077,10;951900120334
2009-04-20;21.061,67;979949386814;22.476,52;1031641845838;20.019,17;1300698064691;36.617,84;103593637718;21.101,31;951804021807
2009-04-21;21.082,51;977134330831;22.500,69;1028349751445;20.037,73;1296635090292;36.651,50;103589918004;21.125,99;949922703137
2009-04-22;21.103,76;972778579715;22.528,88;1022653789676;20.053,04;1293243113745;36.671,05;103718132136;21.140,44;949444139244
2009-04-23;21.112,02;968961574002;22.530,94;1015635980295;20.062,96;1291195834789;36.682,91;103765918451;21.144,87;944982905049
2009-04-24;21.112,00;966708768737;22.532,35;1011365004416;20.064,66;1287843780643;36.676,39;103758356022;21.141,40;941535585533
2009-04-25;21.112,00;966708768737;22.532,35;1011365004416;20.064,66;1287843780643;36.676,39;103758356022;21.141,40;941535585533
2009-04-26;21.112,00;966708768737;22.532,35;1011365004416;20.064,66;1287843780643;36.676,39;103758356022;21.141,40;941535585533
2009-04-27;21.132,64;965058425413;22.551,10;1003176249342;20.076,95;1285981512112;36.701,03;103868909195;21.156,30;940394062619
2009-04-28;21.138,34;963114579311;22.558,36;996099352369;20.077,65;1282392750629;36.707,38;103900158268;21.163,26;938906643409
2009-04-29;21.139,10;961259296144;22.564,32;995144145015;20.075,88;1279669972318;36.711,00;103913595772;21.164,61;937759741689
2009-04-30;21.129,90;958963308274;22.571,18;992836053831;20.076,64;1280067824721;36.720,89;104065565857;21.181,27;936675192155
2009-05-01;21.129,90;958963308274;22.571,18;992836053831;20.076,64;1280067824721;36.720,89;104065565857;21.181,27;936675192155
2009-05-02;21.129,90;958963308274;22.571,18;992836053831;20.076,64;1280067824721;36.720,89;104065565857;21.181,27;936675192155
2009-05-03;21.129,90;958963308274;22.571,18;992836053831;20.076,64;1280067824721;36.720,89;104065565857;21.181,27;936675192155
2009-05-04;21.158,10;960141441387;22.607,87;993014947725;20.096,27;1275635769460;36.734,24;103405538441;21.188,11;935039133504
2009-05-05;21.107,35;956946640553;22.562,40;989913408336;20.038,13;1270640586706;36.683,63;105091198416;21.141,76;933641860856
2009-05-06;21.099,02;952670367981;22.542,15;983981886868;20.046,42;1266528666682;36.646,20;105027385448;21.119,98;930675761455
2009-05-07;21.082,95;945369510238;22.531,04;975495749870;20.069,53;1260625074557;36.666,42;104918139390;21.129,90;927719122669
2009-05-08;21.069,66;940707175576;22.528,70;966560890615;20.036,29;1247425242033;36.628,23;104580508373;21.103,58;918836139335
2009-05-09;21.069,66;940707175576;22.528,70;966560890615;20.036,29;1247425242033;36.628,23;104580508373;21.103,58;918836139335
