
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2013-05-21;25.109,48;3085527939960;25.989,30;2723571417018;25.976,17;3976687307319;25.006,39;260104204336;25.602,93;342364215340;24.988,17;3810921915926
2013-05-22;25.225,77;3099062784110;26.105,44;2736422944062;26.090,42;3993618767635;25.103,68;261263834522;25.718,46;343912871019;25.101,91;3828243116962
2013-05-23;25.209,62;3097726130131;26.089,42;2734847258676;26.065,09;3990136796994;25.084,64;260960869860;25.702,54;343628979518;25.074,09;3823736453503
2013-05-24;25.148,44;3090005991593;26.032,79;2729101289017;26.013,12;3983235956258;25.020,73;260303633729;25.648,67;342877137106;25.022,89;3816576657545
2013-05-25;25.148,44;3090005991593;26.032,79;2729101289017;26.013,12;3983235956258;25.020,73;260303633729;25.648,67;342877137106;25.022,89;3816576657545
2013-05-26;25.148,44;3090005991593;26.032,79;2729101289017;26.013,12;3983235956258;25.020,73;260303633729;25.648,67;342877137106;25.022,89;3816576657545
2013-05-27;25.096,75;3082988207296;25.975,70;2722193049404;25.960,36;3974112208586;24.979,57;259914112857;25.609,32;342379496230;24.969,77;3807874846172
2013-05-28;25.099,26;3083492107096;25.980,43;2722882884964;25.958,67;3974290091495;24.978,73;259927198100;25.612,59;342136295155;24.972,27;3807580312158
2013-05-29;25.128,46;3084240719548;26.011,86;2721397059653;25.987,88;3973357748284;25.002,83;260261695878;25.645,49;342389055214;24.991,16;3809141166910
2013-05-30;24.972,01;3062832562870;25.854,80;2700363447171;25.824,05;3942427363345;24.852,02;259903079993;25.501,63;340420483451;24.831,38;3783139474725
2013-05-31;24.996,74;3061554057217;25.869,82;2699603213189;25.853,16;3935776926047;24.882,91;260577893350;25.520,38;339818416019;24.852,44;3768415330999
2013-06-01;24.996,74;3061554057217;25.869,82;2699603213189;25.853,16;3935776926047;24.882,91;260577893350;25.520,38;339818416019;24.852,44;3768415330999
2013-06-02;24.996,74;3061554057217;25.869,82;2699603213189;25.853,16;3935776926047;24.882,91;260577893350;25.520,38;339818416019;24.852,44;3768415330999
2013-06-03;25.040,25;3066182040992;25.925,42;2704747704014;25.884,52;3939213063733;24.936,60;261044155355;25.568,20;340388654562;24.890,56;3773326050255
2013-06-04;25.094,07;3067767144597;25.970,40;2701192261119;25.951,93;3939515090820;24.997,18;261766828825;25.616,87;338073789267;24.945,09;3776725438767
2013-06-05;25.037,93;3058987973220;25.911,75;2691388165972;25.878,05;3925224644259;24.926,34;261195146226;25.556,29;340080355866;24.882,84;3766683311531
2013-06-06;24.943,17;3046043472610;25.831,53;2680425082840;25.794,04;3908921835596;24.845,91;260594859006;25.475,59;339035131928;24.793,93;3752687802667
2013-06-07;24.964,05;3048609068032;25.845,71;2680381306776;25.839,95;3912692030014;24.879,25;261071667046;25.508,29;339498574854;24.825,55;3757454879285
2013-06-08;24.964,05;3048609068032;25.845,71;2680381306776;25.839,95;3912692030014;24.879,25;261071667046;25.508,29;339498574854;24.825,55;3757454879285
2013-06-09;24.964,05;3048609068032;25.845,71;2680381306776;25.839,95;3912692030014;24.879,25;261071667046;25.508,29;339498574854;24.825,55;3757454879285
2013-06-10;24.879,41;3037521879916;25.748,78;2669764260738;25.735,61;3895333390129;24.782,90;260531558430;25.407,29;338162761514;24.721,29;3741457619002
2013-06-11;24.816,25;3029605622569;25.678,53;2662854990329;25.664,17;3884924880352;24.695,16;260359348704;25.346,35;337406537919;24.643,76;3730549960236
2013-06-12;24.550,32;3000811290346;25.408,10;2637933348369;25.410,49;3849079586087;24.451,76;260708426835;25.087,24;334598461645;24.393,70;3698075001831
2013-06-13;24.349,07;2980200010345;25.197,31;2616427705809;25.196,74;3824712810603;24.254,70;261188460961;24.880,03;331866064346;24.185,91;3673235933663
