
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-04-26;16.575,75;1521636900647;17.061,10;1065945231295;17.167,45;1450758298057;16.623,05;306336153549;16.543,63;2201772674840
2009-04-27;16.617,61;1526132473672;17.112,65;1068565474348;17.207,77;1454526851685;16.671,52;307278824027;16.585,17;2208062822079
2009-04-28;16.610,56;1525883250884;17.095,24;1066778269165;17.200,69;1454834979537;16.669,46;307480546743;16.576,64;2207587417224
2009-04-29;16.603,61;1524643915221;17.091,35;1066771060380;17.190,40;1453985089551;16.662,31;307458448510;16.569,28;2206892047137
2009-04-30;16.653,29;1541550089048;17.169,78;1078151772737;17.240,18;1468850726723;16.709,91;311141630900;16.626,80;2215115880061
2009-05-01;16.653,29;1541550089048;17.169,78;1078151772737;17.240,18;1468850726723;16.709,91;311141630900;16.626,80;2215115880061
2009-05-02;16.653,29;1541550089048;17.169,78;1078151772737;17.240,18;1468850726723;16.709,91;311141630900;16.626,80;2215115880061
2009-05-03;16.653,29;1541550089048;17.169,78;1078151772737;17.240,18;1468850726723;16.709,91;311141630900;16.626,80;2215115880061
2009-05-04;16.688,40;1544849077063;17.197,72;1080198419436;17.261,92;1470623188781;16.725,12;311019539058;16.650,62;2217044096819
2009-05-05;16.719,45;1546638656375;17.243,31;1081934341565;17.283,47;1472218511754;16.761,11;312234371466;16.686,93;2239357147969
2009-05-06;16.741,35;1548703175450;17.256,96;1082494277372;17.313,34;1474800983120;16.770,98;312424732210;16.695,70;2240101568294
2009-05-07;16.777,57;1552076136543;17.310,18;1084462631221;17.367,17;1478574712284;16.819,43;313472477183;16.738,91;2243979103512
2009-05-08;16.764,26;1550824497150;17.300,09;1084419734040;17.341,41;1475235778023;16.803,48;312892649764;16.725,23;2235490787419
2009-05-09;16.764,26;1550824497150;17.300,09;1084419734040;17.341,41;1475235778023;16.803,48;312892649764;16.725,23;2235490787419
2009-05-10;16.764,26;1550824497150;17.300,09;1084419734040;17.341,41;1475235778023;16.803,48;312892649764;16.725,23;2235490787419
2009-05-11;16.813,02;1554569857945;17.350,54;1086531257866;17.387,68;1478401995331;16.857,87;313852334506;16.773,65;2240483075314
2009-05-12;16.760,42;1549219011804;17.307,74;1080331373621;17.355,11;1474583410811;16.822,58;311468824460;16.725,48;2233914186109
2009-05-13;16.755,06;1543147422927;17.298,89;1078930530686;17.333,88;1473468981461;16.824,54;311146081213;16.719,59;2232407452539
2009-05-14;16.723,51;1539826943353;17.262,18;1076579536257;17.308,24;1467289304989;16.806,38;310936779630;16.690,82;2229260409215
2009-05-15;16.665,15;1534849632071;17.201,33;1071299262530;17.236,68;1461664916187;16.740,78;309101456565;16.624,95;2218710615137
2009-05-16;16.665,15;1534849632071;17.201,33;1071299262530;17.236,68;1461664916187;16.740,78;309101456565;16.624,95;2218710615137
2009-05-17;16.665,15;1534849632071;17.201,33;1071299262530;17.236,68;1461664916187;16.740,78;309101456565;16.624,95;2218710615137
2009-05-18;16.655,12;1534713163625;17.174,76;1067752716339;17.232,66;1460006668752;16.730,99;309203066293;16.614,12;2219325355694
2009-05-19;16.720,97;1540657738122;17.243,89;1071075862220;17.306,71;1465707644193;16.796,58;310602315615;16.675,44;2226802590888
2009-05-20;16.763,28;1544655282239;17.277,01;1072902119635;17.342,50;1469049801866;16.838,70;311216297226;16.698,80;2229378960541
2009-05-21;16.763,28;1544655282239;17.277,01;1072902119635;17.342,50;1469049801866;16.838,70;311216297226;16.698,80;2229378960541
2009-05-22;16.751,66;1544192015956;17.260,88;1070969872935;17.327,62;1468283775605;16.832,92;311062751925;16.687,72;2228087245757
2009-05-23;16.751,66;1544192015956;17.260,88;1070969872935;17.327,62;1468283775605;16.832,92;311062751925;16.687,72;2228087245757
2009-05-24;16.751,66;1544192015956;17.260,88;1070969872935;17.327,62;1468283775605;16.832,92;311062751925;16.687,72;2228087245757
2009-05-25;16.750,36;1544537001662;17.261,49;1071049753822;17.327,23;1467552137158;16.834,04;311139384123;16.689,66;2228150827352
2009-05-26;16.774,34;1546286742591;17.283,94;1072061380435;17.353,26;1468752559556;16.862,71;311842204894;16.710,95;2231016123088
2009-05-27;16.799,74;1548760206518;17.299,61;1072813669727;17.386,01;1472501463950;16.892,78;312428962418;16.736,85;2234855673953
2009-05-28;16.763,39;1544583182221;17.276,63;1071946900034;17.365,11;1470333838280;16.873,82;312267394766;16.713,69;2232441612565
2009-05-29;16.701,54;1550600509538;17.229,31;1075317172065;17.302,34;1476438205972;16.829,41;316982575303;16.653,48;2224116052771
2009-05-30;16.701,54;1550600509538;17.229,31;1075317172065;17.302,34;1476438205972;16.829,41;316982575303;16.653,48;2224116052771
2009-05-31;16.701,54;1550600509538;17.229,31;1075317172065;17.302,34;1476438205972;16.829,41;316982575303;16.653,48;2224116052771
2009-06-01;16.756,78;1555930374477;17.272,88;1076946954921;17.357,40;1480448167504;16.872,97;317290166951;16.700,16;2227936789965
2009-06-02;16.831,72;1561479232522;17.346,75;1079400269896;17.433,19;1486631570134;16.935,83;318563060780;16.772,32;2254698459711
2009-06-03;16.891,38;1565132836384;17.400,60;1081692985223;17.486,61;1490821186342;17.002,03;319996739709;16.819,65;2260110575946
2009-06-04;16.897,90;1565194538270;17.406,55;1078893868270;17.481,86;1490202703564;17.002,68;319376768689;16.825,09;2259677228331
2009-06-05;16.899,87;1564710529456;17.421,86;1079048907600;17.496,14;1490173503739;17.004,26;319209440534;16.836,45;2253759292987
2009-06-06;16.899,87;1564710529456;17.421,86;1079048907600;17.496,14;1490173503739;17.004,26;319209440534;16.836,45;2253759292987
2009-06-07;16.899,87;1564710529456;17.421,86;1079048907600;17.496,14;1490173503739;17.004,26;319209440534;16.836,45;2253759292987
2009-06-08;16.915,40;1564643201786;17.450,23;1079417999239;17.498,87;1488875092367;17.022,71;319500307895;16.851,74;2253136662393
2009-06-09;16.896,06;1561896267295;17.435,64;1076736459375;17.481,88;1485747873422;17.009,41;319303007237;16.835,44;2249774084114
2009-06-10;16.921,34;1563412536521;17.451,22;1076577469280;17.501,65;1487852537116;17.021,37;319464077250;16.855,08;2251684517213
2009-06-11;16.954,12;1566242211188;17.503,77;1076753990937;17.545,08;1487370634904;17.054,64;319779458994;16.895,66;2256799558040
2009-06-12;16.998,49;1565261000913;17.569,00;1080759629314;17.588,53;1490976992497;17.094,62;320637329912;16.942,09;2262292762600
2009-06-13;16.998,49;1565261000913;17.569,00;1080759629314;17.588,53;1490976992497;17.094,62;320637329912;16.942,09;2262292762600
2009-06-14;16.998,49;1565261000913;17.569,00;1080759629314;17.588,53;1490976992497;17.094,62;320637329912;16.942,09;2262292762600
2009-06-15;17.037,88;1569154036331;17.601,56;1083254965135;17.627,02;1494573626866;17.120,14;318906640376;16.971,11;2266946768928
2009-06-16;17.008,54;1566715757202;17.560,26;1080396614510;17.586,28;1491106923501;17.085,00;318616703064;16.933,27;2261646355430
2009-06-17;16.992,66;1564636253542;17.552,03;1079679587653;17.552,04;1487467778178;17.046,01;318072922902;16.909,74;2258372666267
2009-06-18;16.934,89;1559991912693;17.500,11;1076797089877;17.502,74;1482928435668;16.990,76;317010330308;16.850,62;2251049611780
2009-06-19;16.891,01;1556194264358;17.466,64;1073260731351;17.463,92;1479594346361;16.959,82;316575920413;16.820,77;2246344875910
2009-06-20;16.891,01;1556194264358;17.466,64;1073260731351;17.463,92;1479594346361;16.959,82;316575920413;16.820,77;2246344875910
2009-06-21;16.891,01;1556194264358;17.466,64;1073260731351;17.463,92;1479594346361;16.959,82;316575920413;16.820,77;2246344875910
2009-06-22;16.912,20;1558269025941;17.487,29;1074343448989;17.490,02;1482564979163;16.981,89;317112883515;16.843,69;2250376986844
2009-06-23;16.844,85;1553085843124;17.403,84;1069941175338;17.410,19;1476015810808;16.911,94;316033385092;16.772,69;2241024397442
2009-06-24;16.814,19;1549886643801;17.368,20;1067266556637;17.380,95;1473423807662;16.893,33;315522942181;16.740,10;2236893393068
2009-06-25;16.814,48;1550480025614;17.382,71;1068499755664;17.388,76;1474450913529;16.898,18;315600651255;16.753,16;2238814286920
2009-06-26;16.848,63;1554022612384;17.418,27;1072574909014;17.430,83;1478825183732;16.925,15;316264484888;16.786,45;2244450252991
