
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-03-14;19.026,42;908050582222;18.995,83;1456405173209;18.270,79;1340822657790;17.471,81;184011628914;19.034,50;1484734124157;18.241,64;518019575402
2006-03-15;19.129,94;924430519629;19.094,71;1468687833217;18.379,06;1348240676805;17.571,64;182142560605;19.138,28;1502981805657;18.354,58;525915162763
2006-03-16;19.184,88;927098898929;19.150,65;1476332416734;18.436,79;1359550277952;17.617,40;187157625856;19.191,77;1507311767102;18.399,32;527318336457
2006-03-17;19.309,49;937083414038;19.279,36;1488624693080;18.550,82;1372366826688;17.730,23;188624211341;19.312,03;1516663666362;18.527,28;531009068460
2006-03-18;19.309,49;937083414038;19.279,36;1488624693080;18.550,82;1372366826688;17.730,23;188624211341;19.312,03;1516663666362;18.527,28;531009068460
2006-03-19;19.309,49;937083414038;19.279,36;1488624693080;18.550,82;1372366826688;17.730,23;188624211341;19.312,03;1516663666362;18.527,28;531009068460
2006-03-20;19.374,19;940243791063;19.328,63;1495151640187;18.625,47;1377362415119;17.789,11;189250081757;19.377,83;1535857770161;18.583,71;532699243831
2006-03-21;19.464,48;945378194278;19.419,28;1503412755216;18.704,61;1383205427580;17.865,75;190267230810;19.468,19;1543433290672;18.667,58;540260332223
2006-03-22;19.492,74;950320060139;19.452,68;1506823181645;18.727,03;1385720910893;17.894,50;190552542735;19.496,35;1545638488079;18.692,19;541166113168
2006-03-23;19.400,83;945871455750;19.370,07;1501884901893;18.640,45;1387285420818;17.817,17;189727420046;19.401,70;1538587216712;18.608,53;538996304807
2006-03-24;19.345,26;946445355052;19.319,18;1499109363049;18.581,60;1384016989860;17.766,52;189230031223;19.352,19;1536461889285;18.549,98;537913372941
2006-03-25;19.345,26;946445355052;19.319,18;1499109363049;18.581,60;1384016989860;17.766,52;189230031223;19.352,19;1536461889285;18.549,98;537913372941
2006-03-26;19.345,26;946445355052;19.319,18;1499109363049;18.581,60;1384016989860;17.766,52;189230031223;19.352,19;1536461889285;18.549,98;537913372941
2006-03-27;19.417,92;949945725558;19.375,77;1504950459444;18.647,38;1388819127195;17.829,64;190031514747;19.425,96;1542557998408;18.619,91;540434125417
2006-03-28;19.472,21;952665246263;19.428,37;1509685918794;18.697,81;1392525455887;17.872,18;190550757806;19.476,04;1547040011492;18.668,25;542007464383
2006-03-29;19.460,49;955358099812;19.418,66;1509559593986;18.684,36;1392356672163;17.863,34;190493018732;19.468,78;1549311487631;18.660,93;541936933005
2006-03-30;19.382,70;952940416674;19.341,01;1504001649753;18.619,03;1397485900748;17.793,99;189789334998;19.382,15;1543954777327;18.583,31;539908999398
2006-03-31;19.462,52;958086538760;19.406,29;1508110828385;18.699,63;1402843399529;17.873,76;190392697260;19.465,22;1550595151255;18.660,86;541908371931
2006-04-01;19.462,52;958086538760;19.406,29;1508110828385;18.699,63;1402843399529;17.873,76;190392697260;19.465,22;1550595151255;18.660,86;541908371931
2006-04-02;19.462,52;958086538760;19.406,29;1508110828385;18.699,63;1402843399529;17.873,76;190392697260;19.465,22;1550595151255;18.660,86;541908371931
2006-04-03;19.492,07;964436717888;19.436,61;1512883770123;18.725,56;1407975080497;17.899,75;187494762486;19.497,66;1587665644225;18.684,63;539746103461
2006-04-04;19.544,46;967190989068;19.476,98;1520825635134;18.776,26;1411863765992;17.945,65;194561392425;19.558,82;1592675470841;18.731,72;546735624423
2006-04-05;19.634,75;973838420753;19.568,24;1530717437353;18.851,94;1416979230959;18.028,63;195477999808;19.643,43;1599548178839;18.816,23;549276205558
2006-04-06;19.708,03;977275549887;19.637,01;1537901969775;18.918,42;1430887503773;18.083,96;196074164054;19.711,50;1605036277590;18.874,11;551128909450
2006-04-07;19.744,35;981846108155;19.660,99;1540765528048;18.936,03;1432313510158;18.108,09;199099403522;19.752,48;1608453529760;18.902,56;551916263638
2006-04-08;19.744,35;981846108155;19.660,99;1540765528048;18.936,03;1432313510158;18.108,09;199099403522;19.752,48;1608453529760;18.902,56;551916263638
2006-04-09;19.744,35;981846108155;19.660,99;1540765528048;18.936,03;1432313510158;18.108,09;199099403522;19.752,48;1608453529760;18.902,56;551916263638
2006-04-10;19.775,64;983356414045;19.687,20;1544081732031;18.958,62;1433818648945;18.132,17;199370202708;19.789,40;1611316139882;18.931,21;552760581295
2006-04-11;19.712,61;980374452245;19.629,15;1541449046610;18.897,30;1429370822652;18.075,41;198713016472;19.724,66;1605964536829;18.872,84;551043199637
2006-04-12;19.675,73;981124336376;19.592,06;1540468093838;18.850,48;1425217443421;18.044,94;198376972664;19.688,32;1603704610131;18.837,01;549937974480
2006-04-13;19.547,77;977914137847;19.457,67;1532294224961;18.735,86;1427151254892;17.935,46;197173245411;19.560,26;1593155492151;18.706,90;546160232449
