
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-03-02;14.494,90;408389829234;12.542,74;482484043821;24.148,94;64372522828;13.944,14;15620555442;13.801,28;329218662537;13.751,20;132451590604;14.315,88;108195113771
2003-03-03;14.496,35;408404979142;12.532,04;482074841111;24.146,17;64364239746;13.930,30;15606149376;13.789,10;328901767741;13.737,28;132222699118;14.309,36;108145843565
2003-03-04;14.509,92;408602241366;12.545,60;482446022943;24.151,47;64374047921;13.935,80;15611767798;13.805,48;329250453381;13.741,13;132252636777;14.327,84;108285215146
2003-03-05;14.564,35;410269131086;12.605,20;484732089182;24.274,38;64701989311;14.002,13;15686083907;13.869,50;330716436035;13.811,50;132978408948;14.388,66;108740599682
2003-03-06;14.586,63;410855331258;12.648,35;486267208593;24.289,36;64652111846;14.033,24;15720926909;13.900,42;331451690606;13.828,61;133142408447;14.419,67;108756068000
2003-03-07;14.574,33;410541100973;12.643,82;486140192993;24.337,76;64915276041;14.027,24;15714208041;13.905,38;331560842610;13.833,57;133166294400;14.411,43;109206447883
2003-03-08;14.574,33;410541100973;12.643,82;486140192993;24.337,76;64915276041;14.027,24;15714208041;13.905,38;331560842610;13.833,57;133166294400;14.411,43;109206447883
2003-03-09;14.574,33;410541100973;12.643,82;486140192993;24.337,76;64915276041;14.027,24;15714208041;13.905,38;331560842610;13.833,57;133166294400;14.411,43;109206447883
2003-03-10;14.594,13;412058585161;12.655,02;486329581638;24.372,82;64990963476;14.037,30;15703343954;13.916,45;331781100607;13.839,56;133042357579;14.430,50;109387403854
2003-03-11;14.554,20;410963304609;12.629,65;484596926248;24.395,62;65072915831;14.022,04;15685953311;13.896,87;330710726176;13.821,10;133260136886;14.407,55;109246449678
2003-03-12;14.555,42;410740973680;12.603,75;488032560067;24.324,74;64894966875;13.970,75;15633275517;13.853,68;329551550954;13.778,96;132866790544;14.369,28;109026298637
2003-03-13;14.576,20;411441827362;12.630,10;489027944947;24.280,45;64697197450;14.015,67;15685122377;13.891,18;330264338717;13.813,16;133209940950;14.403,01;109149389601
2003-03-14;14.562,02;411077834816;12.602,08;488162195159;24.234,71;64677395167;14.017,66;15774280935;13.876,79;329975356725;13.802,44;133163997126;14.385,66;109892703096
2003-03-15;14.562,02;411077834816;12.602,08;488162195159;24.234,71;64677395167;14.017,66;15774280935;13.876,79;329975356725;13.802,44;133163997126;14.385,66;109892703096
2003-03-16;14.562,02;411077834816;12.602,08;488162195159;24.234,71;64677395167;14.017,66;15774280935;13.876,79;329975356725;13.802,44;133163997126;14.385,66;109892703096
2003-03-17;14.546,64;410509917410;12.585,46;487387366747;24.232,33;64416128204;14.002,46;15906869233;13.843,73;332174899048;13.787,39;133116658476;14.367,24;110433676335
2003-03-18;14.569,48;411104341109;12.622,25;488834028298;24.263,70;64518603370;14.023,32;15938545666;13.870,47;333107053003;13.812,90;133374314094;14.400,75;110691185630
2003-03-19;14.556,42;410806377537;12.605,13;488734510992;24.228,25;64428781229;14.015,25;15929478638;13.850,29;332610405523;13.800,14;133248715798;14.382,30;111117924169
2003-03-20;14.565,27;411202276782;12.627,55;489615925079;24.233,24;64442131911;14.035,99;15938300926;13.877,86;333301151691;13.813,31;133374833795;14.403,15;111264106242
2003-03-21;14.568,51;411617818876;12.630,93;489781415356;24.265,41;64628674578;14.028,08;15932142836;13.874,31;333309204860;13.806,45;133441166671;14.398,91;111347967212
2003-03-22;14.568,51;411617818876;12.630,93;489781415356;24.265,41;64628674578;14.028,08;15932142836;13.874,31;333309204860;13.806,45;133441166671;14.398,91;111347967212
2003-03-23;14.568,51;411617818876;12.630,93;489781415356;24.265,41;64628674578;14.028,08;15932142836;13.874,31;333309204860;13.806,45;133441166671;14.398,91;111347967212
2003-03-24;14.500,15;409621740388;12.602,78;489383608112;24.109,10;64251550892;14.014,84;15921209392;13.851,06;332655206661;13.791,36;133305517282;14.370,86;111209321879
2003-03-25;14.511,65;410076496063;12.614,65;489655775056;24.198,95;64491238532;14.019,94;15933188772;13.863,27;333008854283;13.802,75;134026467292;14.379,62;111403490665
2003-03-26;14.518,59;410485252875;12.591,89;488784233706;24.177,75;64546070476;14.009,25;15981559100;13.843,95;332383225374;13.788,81;134053096864;14.373,35;112488661389
2003-03-27;14.545,30;411099141348;12.606,56;492140901829;24.269,30;64530887804;14.023,59;16064780428;13.873,42;333388407250;13.809,15;134817118764;14.401,40;114195292541
2003-03-28;14.575,92;412296166749;12.616,14;492511429995;24.375,32;64829259559;14.026,76;16187575573;13.882,28;334496578100;13.817,74;134897682107;14.413,57;114319528543
2003-03-29;14.575,92;412296166749;12.616,14;492511429995;24.375,32;64829259559;14.026,76;16187575573;13.882,28;334496578100;13.817,74;134897682107;14.413,57;114319528543
2003-03-30;14.575,92;412296166749;12.616,14;492511429995;24.375,32;64829259559;14.026,76;16187575573;13.882,28;334496578100;13.817,74;134897682107;14.413,57;114319528543
2003-03-31;14.570,92;412203386191;12.610,11;493140658143;24.307,04;64512343738;14.033,79;16197926364;13.873,72;334373603599;13.825,31;135042710314;14.405,31;114444055314
2003-04-01;14.620,33;413672605659;12.634,57;494059616778;24.404,38;64770349600;14.048,25;16214619242;13.905,78;335174801874;13.846,36;135123437687;14.436,12;114689019554
2003-04-02;14.613,92;413792676612;12.648,53;499292403352;24.387,41;64722469335;14.054,77;16153643375;13.908,67;335229335623;13.856,49;135167756188;14.446,35;114604158961
2003-04-03;14.559,24;412265060712;12.621,05;498268539824;24.269,59;64152759676;14.027,39;16121649147;13.864,04;333988927878;13.819,33;134803240410;14.412,82;115055374660
2003-04-04;14.612,80;417165553015;12.648,68;498886052591;24.391,02;65027924675;14.052,72;16150683411;13.902,41;334929334289;13.851,98;135146860574;14.445,20;115204152967
2003-04-05;14.612,80;417165553015;12.648,68;498886052591;24.391,02;65027924675;14.052,72;16150683411;13.902,41;334929334289;13.851,98;135146860574;14.445,20;115204152967
2003-04-06;14.612,80;417165553015;12.648,68;498886052591;24.391,02;65027924675;14.052,72;16150683411;13.902,41;334929334289;13.851,98;135146860574;14.445,20;115204152967
2003-04-07;14.602,84;415704907824;12.651,11;498994051216;24.351,05;64870138631;14.061,83;16157317392;13.889,05;338296575979;13.857,72;135152636664;14.439,29;115079483026
2003-04-08;14.582,38;414692487923;12.632,86;497870803604;24.273,68;64560764405;14.029,95;16119887259;13.871,82;337683236412;13.825,96;135369120704;14.427,04;114973191970
2003-04-09;14.614,31;415500753578;12.660,58;499117182259;24.352,57;64770926465;14.044,81;16136945437;13.902,82;337916980110;13.838,60;135445451508;14.445,75;115564952349
2003-04-10;14.609,84;415446525647;12.652,12;498033579199;24.378,90;64746427043;14.043,65;16112683855;13.902,00;338003014918;13.839,06;135605367833;14.444,91;115406114532
2003-04-11;14.628,13;415577202920;12.659,54;498409323824;24.400,68;64819229702;14.058,15;16088602162;13.915,88;338448176469;13.855,59;135786106786;14.457,04;115499680218
2003-04-12;14.628,13;415577202920;12.659,54;498409323824;24.400,68;64819229702;14.058,15;16088602162;13.915,88;338448176469;13.855,59;135786106786;14.457,04;115499680218
2003-04-13;14.628,13;415577202920;12.659,54;498409323824;24.400,68;64819229702;14.058,15;16088602162;13.915,88;338448176469;13.855,59;135786106786;14.457,04;115499680218
2003-04-14;14.635,87;415686879838;12.664,73;498869414189;24.402,63;64866429467;14.073,06;16106166864;13.923,31;338641937660;13.864,82;135913998416;14.467,29;115594038088
2003-04-15;14.628,99;415516303284;12.662,09;498928994585;24.447,81;64957625666;14.082,40;16117344737;13.915,90;338531823920;13.875,15;136010905214;14.461,48;115570578708
2003-04-16;14.623,19;415746407677;12.654,85;499464105373;24.354,68;64085132941;14.048,34;16307117511;13.901,67;339701914398;13.844,69;135880322994;14.443,79;116732640089
2003-04-17;14.627,67;415963431526;12.653,17;499457682831;24.375,99;64156454003;14.061,91;16332925443;13.904,96;339791334970;13.863,49;136043539864;14.441,90;116783768854
2003-04-18;14.627,67;415963431526;12.653,17;499457682831;24.375,99;64156454003;14.061,91;16332925443;13.904,96;339791334970;13.863,49;136043539864;14.441,90;116783768854
2003-04-19;14.627,67;415963431526;12.653,17;499457682831;24.375,99;64156454003;14.061,91;16332925443;13.904,96;339791334970;13.863,49;136043539864;14.441,90;116783768854
2003-04-20;14.627,67;415963431526;12.653,17;499457682831;24.375,99;64156454003;14.061,91;16332925443;13.904,96;339791334970;13.863,49;136043539864;14.441,90;116783768854
2003-04-21;14.651,99;416679242924;12.661,81;499849215124;24.393,06;64173909177;14.069,04;16340713283;13.922,06;340294874474;13.869,70;136125781863;14.452,03;116889497725
2003-04-22;14.658,27;416924032308;12.668,51;500135639590;24.412,90;64248129238;14.071,64;16343130619;13.921,09;340280927064;13.873,30;136182381444;14.456,40;117012481869
