
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2007-05-18;21.108,34;2481309580244;21.226,98;3749422741774;20.202,91;5350966250363;38.238,76;842819126926;18.906,56;7344905258972;18.999,06;2642105538353
2007-05-19;21.108,34;2481309580244;21.226,98;3749422741774;20.202,91;5350966250363;38.238,76;842819126926;18.906,56;7344905258972;18.999,06;2642105538353
2007-05-20;21.108,34;2481309580244;21.226,98;3749422741774;20.202,91;5350966250363;38.238,76;842819126926;18.906,56;7344905258972;18.999,06;2642105538353
2007-05-21;21.108,34;2481309580244;21.226,98;3749422741774;20.202,91;5350966250363;38.238,76;842819126926;18.906,56;7344905258972;18.999,06;2642105538353
2007-05-22;21.143,30;2487726245591;21.275,01;3758012693949;20.237,35;5361491043528;38.300,96;843719820763;18.934,85;7356813575128;19.029,18;2646659369761
2007-05-23;21.136,96;2487287244203;21.284,93;3758578692270;20.227,67;5357040196714;38.297,85;844187486420;18.921,74;7349933045874;19.017,15;2645285683762
2007-05-24;21.059,71;2476733911927;21.237,64;3747198969933;20.171,21;5340055753897;38.171,80;841439873171;18.861,74;7326275090284;18.969,28;2639576258943
2007-05-25;21.105,80;2481877038326;21.278,23;3752260727009;20.218,88;5352240388512;38.256,07;843001475152;18.905,51;7343462490431;19.006,56;2643554666664
2007-05-26;21.105,80;2481877038326;21.278,23;3752260727009;20.218,88;5352240388512;38.256,07;843001475152;18.905,51;7343462490431;19.006,56;2643554666664
2007-05-27;21.105,80;2481877038326;21.278,23;3752260727009;20.218,88;5352240388512;38.256,07;843001475152;18.905,51;7343462490431;19.006,56;2643554666664
2007-05-28;21.065,83;2476690676168;21.231,17;3741895336935;20.169,46;5340056083756;38.169,62;841376981864;18.864,85;7327811544678;18.965,92;2634648944780
2007-05-29;21.136,68;2484550227617;21.297,13;3753747510430;20.249,66;5360413412911;38.309,38;844749215388;18.928,97;7352340403295;19.031,77;2643566221686
2007-05-30;21.218,24;2494050279030;21.367,50;3766236906364;20.313,43;5377594162500;38.440,45;847280278518;18.992,02;7377193357912;19.090,48;2651497400947
2007-05-31;21.177,06;2491031686645;21.338,60;3761165915101;20.269,29;5365895587049;38.368,17;845635441802;18.953,42;7364064961097;19.056,65;2646111679632
2007-06-01;21.250,87;2497195066365;21.397,61;3770149043363;20.339,41;5378904554524;38.519,75;846710543972;19.023,91;7378999794052;19.119,63;2650191224261
2007-06-02;21.250,87;2497195066365;21.397,61;3770149043363;20.339,41;5378904554524;38.519,75;846710543972;19.023,91;7378999794052;19.119,63;2650191224261
2007-06-03;21.250,87;2497195066365;21.397,61;3770149043363;20.339,41;5378904554524;38.519,75;846710543972;19.023,91;7378999794052;19.119,63;2650191224261
2007-06-04;21.330,89;2504781465513;21.474,02;3782482824103;20.419,01;5398044833906;38.674,64;851057786637;19.100,00;7408164588407;19.200,23;2659104752864
2007-06-05;21.426,18;2514384085705;21.562,75;3796132681078;20.518,81;5422263887049;38.860,79;854176705630;19.186,10;7439178437441;19.295,76;2671813967453
2007-06-06;21.441,74;2514743125771;21.558,70;3794123372753;20.531,62;5425070280566;38.880,73;854509717978;19.198,49;7441810703075;19.307,00;2672291860479
2007-06-07;21.413,38;2509151043186;21.568,61;3795322151220;20.505,17;5414343831999;38.832,69;853276350104;19.173,91;7429721816991;19.278,09;2668232685046
2007-06-08;21.328,07;2498644057475;21.483,12;3780373191943;20.431,20;5393524293466;38.677,63;849357225429;19.099,22;7396611431406;19.203,92;2658104567260
2007-06-09;21.328,07;2498644057475;21.483,12;3780373191943;20.431,20;5393524293466;38.677,63;849357225429;19.099,22;7396611431406;19.203,92;2658104567260
2007-06-10;21.328,07;2498644057475;21.483,12;3780373191943;20.431,20;5393524293466;38.677,63;849357225429;19.099,22;7396611431406;19.203,92;2658104567260
2007-06-11;21.226,54;2485423165078;21.378,27;3760107643216;20.316,60;5363151749546;38.461,50;844354410310;19.003,08;7356580360930;19.106,19;2642438829136
2007-06-12;21.290,67;2491840346243;21.422,74;3764923230364;20.388,25;5378335961704;38.597,69;847234507960;19.058,37;7377438222189;19.162,67;2649713017603
2007-06-13;21.331,05;2496263727456;21.437,92;3767295831719;20.420,54;5388323401795;38.663,98;847669091686;19.089,35;7388739618792;19.184,28;2653972485023
2007-06-14;21.333,99;2495679803275;21.418,70;3763034681260;20.408,38;5381329617322;38.639,20;847216226386;19.084,84;7387937754402;19.180,50;2659511852021
2007-06-15;21.385,40;2497984040204;21.474,35;3768893491745;20.457,92;5393993217709;38.772,48;846641926996;19.126,84;7391578716147;19.230,56;2658048524026
