
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-03-20;16.482,32;1159858417658;16.425,69;1574551223755;15.736,71;2310992348561;15.676,16;276215513454;15.923,54;2773665539368;15.925,11;956107375823
2006-03-21;16.532,09;1163358849983;16.476,57;1580145093412;15.788,73;2318647679788;15.721,74;277317811585;15.975,12;2782771475064;15.975,57;960056180027
2006-03-22;16.552,33;1166105829862;16.498,82;1583258554737;15.805,68;2322034141391;15.740,49;277648326640;15.994,35;2786149313120;15.990,10;961354882608
2006-03-23;16.496,02;1162153350211;16.442,04;1579177537626;15.752,36;2319042715496;15.691,93;276786425696;15.941,60;2777698657220;15.940,10;958798905575
2006-03-24;16.466,35;1160022068021;16.422,90;1578759332736;15.720,26;2316644678808;15.664,73;276412479413;15.915,42;2777521043094;15.909,70;958367447840
2006-03-25;16.466,35;1160022068021;16.422,90;1578759332736;15.720,26;2316644678808;15.664,73;276412479413;15.915,42;2777521043094;15.909,70;958367447840
2006-03-26;16.466,35;1160022068021;16.422,90;1578759332736;15.720,26;2316644678808;15.664,73;276412479413;15.915,42;2777521043094;15.909,70;958367447840
2006-03-27;16.513,32;1163362351604;16.456,73;1583371592640;15.763,10;2322642450039;15.707,17;277407401515;15.961,88;2786480748646;15.951,85;961955453747
2006-03-28;16.550,50;1166030045466;16.489,88;1587504927636;15.790,49;2326867425726;15.737,69;278034214170;15.995,89;2793983444694;15.984,87;964234149252
2006-03-29;16.544,68;1166242470610;16.488,99;1587808564104;15.783,13;2326410581031;15.729,13;277989482912;15.990,81;2798577544448;15.979,76;964237184773
2006-03-30;16.503,54;1164184146411;16.447,95;1584250042253;15.750,44;2326615393084;15.692,04;277367176756;15.953,81;2795405465987;15.943,05;962618909441
2006-03-31;16.557,20;1165943623656;16.486,36;1583551060606;15.801,45;2328899095305;15.753,44;277359611690;16.007,80;2804804313967;15.997,62;965639730238
2006-04-01;16.557,20;1165943623656;16.486,36;1583551060606;15.801,45;2328899095305;15.753,44;277359611690;16.007,80;2804804313967;15.997,62;965639730238
2006-04-02;16.557,20;1165943623656;16.486,36;1583551060606;15.801,45;2328899095305;15.753,44;277359611690;16.007,80;2804804313967;15.997,62;965639730238
2006-04-03;16.574,84;1167261432914;16.507,23;1586823907953;15.818,56;2333469630803;15.768,53;275205938812;16.023,15;2809493527845;16.010,96;961911539867
2006-04-04;16.604,61;1169465809054;16.527,48;1591336011208;15.849,66;2338123372180;15.796,51;277900101637;16.053,72;2808204330035;16.039,18;964524795937
2006-04-05;16.655,93;1174795792379;16.580,95;1598304676619;15.891,82;2344305607052;15.845,85;278771416290;16.093,75;2815189318460;16.081,22;966991138743
2006-04-06;16.700,14;1177728304054;16.624,33;1604579560936;15.932,66;2355524801477;15.879,13;279352853787;16.131,92;2821880564419;16.120,09;969500131769
2006-04-07;16.723,97;1179517170686;16.642,18;1606992643312;15.946,67;2357640170449;15.895,93;280232162269;16.155,87;2826210170226;16.139,20;970592145117
2006-04-08;16.723,97;1179517170686;16.642,18;1606992643312;15.946,67;2357640170449;15.895,93;280232162269;16.155,87;2826210170226;16.139,20;970592145117
2006-04-09;16.723,97;1179517170686;16.642,18;1606992643312;15.946,67;2357640170449;15.895,93;280232162269;16.155,87;2826210170226;16.139,20;970592145117
2006-04-10;16.748,60;1181021453177;16.663,53;1610147397629;15.964,30;2360353860261;15.916,53;280596905626;16.184,67;2831350259942;16.162,52;972037174587
2006-04-11;16.709,36;1178254445828;16.618,27;1606455454977;15.926,13;2354643961795;15.871,37;279797356782;16.141,13;2823904405254;16.117,27;969196407107
2006-04-12;16.684,58;1176614421831;16.592,88;1605410622683;15.896,67;2350205736293;15.848,53;279394151799;16.113,74;2819858440426;16.091,22;967637348464
2006-04-13;16.606,25;1171955859834;16.511,23;1599162722977;15.824,25;2346816981324;15.771,97;278047849456;16.039,05;2806831855049;16.012,41;962941275855
2006-04-14;16.606,25;1171955859834;16.511,23;1599162722977;15.824,25;2346816981324;15.771,97;278047849456;16.039,05;2806831855049;16.012,41;962941275855
2006-04-15;16.606,25;1171955859834;16.511,23;1599162722977;15.824,25;2346816981324;15.771,97;278047849456;16.039,05;2806831855049;16.012,41;962941275855
2006-04-16;16.606,25;1171955859834;16.511,23;1599162722977;15.824,25;2346816981324;15.771,97;278047849456;16.039,05;2806831855049;16.012,41;962941275855
2006-04-17;16.618,95;1177778291951;16.525,35;1607045397454;15.832,71;2358399158699;15.783,06;274855573962;16.045,26;2804701577875;16.027,34;959262149779
2006-04-18;16.641,45;1179448611883;16.539,85;1609810073626;15.850,82;2361092729935;15.803,21;278009772751;16.062,39;2807664698705;16.046,93;962597686286
2006-04-19;16.693,90;1183263679610;16.575,78;1613285881027;15.905,19;2369929971202;15.855,82;278964729879;16.119,67;2817670397428;16.097,51;965678065006
2006-04-20;16.822,72;1192970991394;16.715,89;1628486975209;16.026,27;2390972619135;15.983,40;281513737591;16.244,44;2839280943996;16.224,99;973198436637
2006-04-21;16.904,79;1198701886892;16.798,61;1637346170701;16.107,96;2403785030459;16.061,67;283346877825;16.325,79;2857988191436;16.307,33;978266257143
2006-04-22;16.904,79;1198701886892;16.798,61;1637346170701;16.107,96;2403785030459;16.061,67;283346877825;16.325,79;2857988191436;16.307,33;978266257143
2006-04-23;16.904,79;1198701886892;16.798,61;1637346170701;16.107,96;2403785030459;16.061,67;283346877825;16.325,79;2857988191436;16.307,33;978266257143
2006-04-24;16.946,89;1201707931386;16.827,34;1641305304972;16.145,23;2409393910141;16.096,14;283955872031;16.362,90;2865461921943;16.340,16;980531568341
2006-04-25;16.988,66;1205592779121;16.862,91;1645619191781;16.182,98;2416538992478;16.134,27;284587330988;16.393,14;2872740227990;16.389,43;983350772490
2006-04-26;16.979,15;1205107930223;16.857,78;1645856441679;16.174,36;2415310972027;16.122,84;284379844583;16.386,63;2878463412732;16.371,45;983573625419
2006-04-27;16.982,96;1206113528708;16.862,54;1646721965685;16.175,55;2420707712183;16.128,54;284848108432;16.391,27;2882560849301;16.375,49;985734949925
2006-04-28;17.030,88;1206962308762;16.911,78;1648241270265;16.218,81;2416677389050;16.171,87;285021026551;16.430,81;2889447535297;16.422,23;987187818534
2006-04-29;17.030,88;1206962308762;16.911,78;1648241270265;16.218,81;2416677389050;16.171,87;285021026551;16.430,81;2889447535297;16.422,23;987187818534
2006-04-30;17.030,88;1206962308762;16.911,78;1648241270265;16.218,81;2416677389050;16.171,87;285021026551;16.430,81;2889447535297;16.422,23;987187818534
2006-05-01;17.030,88;1206962308762;16.911,78;1648241270265;16.218,81;2416677389050;16.171,87;285021026551;16.430,81;2889447535297;16.422,23;987187818534
2006-05-02;16.985,83;1205190027882;16.872,26;1644953732227;16.173,68;2410400621505;16.132,58;282336742630;16.379,76;2879947780992;16.378,36;984365660308
2006-05-03;17.021,70;1208227331752;16.905,83;1650987303139;16.209,76;2415722452421;16.170,38;284123758165;16.425,15;2880652017679;16.409,62;987289076041
2006-05-04;17.083,78;1212556494781;16.978,54;1659522794049;16.261,43;2427728576202;16.223,79;285200143105;16.482,56;2891154322096;16.471,78;991350633897
2006-05-05;17.107,81;1213551644846;16.990,86;1661411200063;16.292,55;2432352515690;16.256,05;285741624740;16.506,77;2895264171957;16.499,05;993154484260
2006-05-06;17.107,81;1213551644846;16.990,86;1661411200063;16.292,55;2432352515690;16.256,05;285741624740;16.506,77;2895264171957;16.499,05;993154484260
2006-05-07;17.107,81;1213551644846;16.990,86;1661411200063;16.292,55;2432352515690;16.256,05;285741624740;16.506,77;2895264171957;16.499,05;993154484260
2006-05-08;17.151,57;1216611663036;17.032,15;1666784604060;16.334,42;2439012429529;16.299,38;286501301611;16.550,40;2902916099561;16.541,92;995698910714
2006-05-09;17.238,79;1223085479741;17.128,56;1676852837468;16.417,76;2451434781769;16.385,03;287972878921;16.639,96;2918507293339;16.633,05;1001296101264
2006-05-10;17.325,80;1229154334663;17.202,77;1685085128815;16.502,89;2464116380399;16.464,46;289369843162;16.725,11;2933056748982;16.712,21;1006061330934
2006-05-11;17.313,46;1228314421602;17.197,99;1685671258996;16.488,01;2465909859048;16.453,27;289169291467;16.709,36;2930454820121;16.700,85;1005383160782
2006-05-12;17.291,31;1226672211718;17.177,13;1684247096853;16.468,41;2463005294857;16.432,50;288806593061;16.690,70;2927799308697;16.678,98;1004025708718
2006-05-13;17.291,31;1226672211718;17.177,13;1684247096853;16.468,41;2463005294857;16.432,50;288806593061;16.690,70;2927799308697;16.678,98;1004025708718
