
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-03-17;13.732,02;440547355483;13.833,94;830777537639;13.395,77;1019315224048;13.171,66;243989151597;13.259,98;1604896426185;13.343,93;694428742401
2006-03-18;13.732,02;440547355483;13.833,94;830777537639;13.395,77;1019315224048;13.171,66;243989151597;13.259,98;1604896426185;13.343,93;694428742401
2006-03-19;13.732,02;440547355483;13.833,94;830777537639;13.395,77;1019315224048;13.171,66;243989151597;13.259,98;1604896426185;13.343,93;694428742401
2006-03-20;13.752,71;441138373480;13.849,34;831434978676;13.416,80;1027040491462;13.189,57;244379180401;13.279,03;1602047468524;13.360,81;695648471029
2006-03-21;13.767,97;441752460947;13.868,20;830670463943;13.436,17;1028749235802;13.207,48;244855726644;13.295,08;1603868533797;13.377,72;694589021891
2006-03-22;13.775,84;441439354752;13.877,19;830715461633;13.441,99;1031129661475;13.218,25;245210503819;13.301,17;1604725959369;13.383,70;695220312422
2006-03-23;13.758,17;441016941041;13.862,43;828813569751;13.425,08;1025970253067;13.201,16;244898528307;13.289,95;1603546941992;13.371,26;694874680669
2006-03-24;13.752,68;440157856294;13.857,67;827696602962;13.421,19;1026472662056;13.198,53;244986846151;13.285,78;1604080840410;13.365,36;695000224650
2006-03-25;13.752,68;440157856294;13.857,67;827696602962;13.421,19;1026472662056;13.198,53;244986846151;13.285,78;1604080840410;13.365,36;695000224650
2006-03-26;13.752,68;440157856294;13.857,67;827696602962;13.421,19;1026472662056;13.198,53;244986846151;13.285,78;1604080840410;13.365,36;695000224650
2006-03-27;13.776,13;440953849325;13.878,13;828083026230;13.444,52;1027827061308;13.220,83;245676830000;13.308,46;1607469539318;13.388,86;696662542792
2006-03-28;13.790,17;441644121828;13.889,47;828927839240;13.453,16;1028842302659;13.231,41;246107368350;13.318,34;1608975076993;13.399,01;697446687726
2006-03-29;13.792,61;440306219551;13.891,00;829174411983;13.455,09;1028774304337;13.231,67;246245741257;13.317,28;1610067930025;13.399,74;697580271738
2006-03-30;13.784,55;440072594037;13.882,53;827818927029;13.452,90;1024572439060;13.223,29;246108031440;13.312,93;1610766888591;13.394,05;697390178695
2006-03-31;13.795,07;443644492561;13.890,29;833582064328;13.463,02;1032437180187;13.235,39;248059544944;13.322,19;1611930494003;13.403,58;701364495976
2006-04-01;13.795,07;443644492561;13.890,29;833582064328;13.463,02;1032437180187;13.235,39;248059544944;13.322,19;1611930494003;13.403,58;701364495976
2006-04-02;13.795,07;443644492561;13.890,29;833582064328;13.463,02;1032437180187;13.235,39;248059544944;13.322,19;1611930494003;13.403,58;701364495976
2006-04-03;13.797,81;443614385165;13.894,82;833173180126;13.466,76;1031179340365;13.239,68;247841332018;13.325,11;1604946870393;13.407,81;700963637536
2006-04-04;13.808,24;443186814922;13.908,13;830026911496;13.480,53;1032257825602;13.249,16;246803294696;13.335,03;1611461329635;13.418,60;698377169338
2006-04-05;13.813,22;440261358505;13.916,10;828351993687;13.482,34;1029947107631;13.256,75;246998090628;13.334,77;1611502442937;13.422,13;698006794535
2006-04-06;13.837,07;441014833933;13.928,51;826181558587;13.498,62;1027845094689;13.267,98;246988543645;13.347,98;1613238888112;13.435,14;697502659764
2006-04-07;13.847,15;441439215434;13.935,21;824747952390;13.505,97;1028485657418;13.274,27;246023469490;13.354,12;1613139820804;13.443,72;697819808774
2006-04-08;13.847,15;441439215434;13.935,21;824747952390;13.505,97;1028485657418;13.274,27;246023469490;13.354,12;1613139820804;13.443,72;697819808774
2006-04-09;13.847,15;441439215434;13.935,21;824747952390;13.505,97;1028485657418;13.274,27;246023469490;13.354,12;1613139820804;13.443,72;697819808774
2006-04-10;13.858,68;441062205846;13.942,53;824254602082;13.515,45;1026249936891;13.284,43;245010379597;13.365,69;1608646738578;13.454,25;695633220667
2006-04-11;13.851,66;440909302957;13.931,67;820154687955;13.505,46;1025244601967;13.273,23;244914894597;13.357,56;1607671120134;13.446,35;695063292753
2006-04-12;13.843,73;440320691871;13.925,45;818992071225;13.496,48;1024038658820;13.269,34;244902137941;13.349,79;1607677013991;13.438,01;694683526747
