
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2011-05-13;24.575,58;589513399273;26.025,71;620361226422;23.008,58;706984127204;26.121,18;4638495858;41.235,16;57364339078;23.947,09;605172413670
2011-05-14;24.575,58;589513399273;26.025,71;620361226422;23.008,58;706984127204;26.121,18;4638495858;41.235,16;57364339078;23.947,09;605172413670
2011-05-15;24.575,58;589513399273;26.025,71;620361226422;23.008,58;706984127204;26.121,18;4638495858;41.235,16;57364339078;23.947,09;605172413670
2011-05-16;24.532,90;586913790366;25.994,01;618982722068;22.999,92;705054959999;26.134,14;4642833114;41.196,64;56937944018;23.914,79;603667236596
2011-05-17;24.541,36;586896738331;26.009,51;619240766518;23.005,84;705354038555;26.130,11;4650160954;41.196,96;57025449004;23.912,50;603231689206
2011-05-18;24.553,99;588809581976;26.024,20;620994826293;23.016,37;707663927489;26.135,18;4444177523;41.225,46;57338311677;23.924,73;605556888799
2011-05-19;24.570,28;590297343085;26.042,07;624899934538;23.031,60;711887305035;26.152,46;4447115594;41.245,91;57225981973;23.943,72;607010558402
2011-05-20;24.589,02;590822449125;26.061,71;627855653826;23.045,10;713073286083;26.148,98;4443814362;41.250,58;57236598135;23.951,26;607846088504
2011-05-21;24.589,02;590822449125;26.061,71;627855653826;23.045,10;713073286083;26.148,98;4443814362;41.250,58;57236598135;23.951,26;607846088504
2011-05-22;24.589,02;590822449125;26.061,71;627855653826;23.045,10;713073286083;26.148,98;4443814362;41.250,58;57236598135;23.951,26;607846088504
2011-05-23;24.597,64;590828087631;26.076,80;629068672417;23.056,72;713479298253;26.161,71;4348661761;41.268,96;57299818871;23.966,34;609062048271
2011-05-24;24.593,56;591254890415;26.076,44;629048099656;23.055,70;713752672054;26.163,42;4351509910;41.284,18;57302909445;23.965,11;609297355870
2011-05-25;24.597,48;590753009156;26.076,40;628788883908;23.055,25;714635847368;26.158,30;4350702384;41.283,81;57241892819;23.963,94;607532943516
2011-05-26;24.603,43;590826642605;26.081,28;628222580691;23.061,55;715549399897;26.162,25;4353450182;41.293,44;57273346557;23.971,11;607334240452
2011-05-27;24.597,29;590605347693;26.072,18;629930281530;23.043,79;716316362880;26.167,10;4343822154;41.284,35;57243132512;23.964,18;608596625967
2011-05-28;24.597,29;590605347693;26.072,18;629930281530;23.043,79;716316362880;26.167,10;4343822154;41.284,35;57243132512;23.964,18;608596625967
2011-05-29;24.597,29;590605347693;26.072,18;629930281530;23.043,79;716316362880;26.167,10;4343822154;41.284,35;57243132512;23.964,18;608596625967
2011-05-30;24.611,53;591436128427;26.084,08;630802410212;23.058,96;719306513529;26.189,02;4350225606;41.311,55;57289957344;23.982,49;609896274543
2011-05-31;24.615,67;592302903222;26.087,23;631872666734;23.057,88;718917928333;26.199,77;4904437820;41.329,36;57283348893;23.995,57;610743231352
2011-06-01;24.623,16;591236203798;26.092,66;631878591967;23.066,80;720852951646;26.208,93;4907236097;41.338,58;57142461876;24.007,39;609800174423
2011-06-02;24.631,60;592114766864;26.101,50;631992002007;23.089,66;722268658317;26.212,60;5834567648;41.365,99;57144345874;24.025,70;610381353663
2011-06-03;24.627,39;592931830757;26.113,79;632274294459;23.090,77;721082173735;26.220,23;5836114888;41.379,33;57059491324;24.032,83;610479235156
2011-06-04;24.627,39;592931830757;26.113,79;632274294459;23.090,77;721082173735;26.220,23;5836114888;41.379,33;57059491324;24.032,83;610479235156
2011-06-05;24.627,39;592931830757;26.113,79;632274294459;23.090,77;721082173735;26.220,23;5836114888;41.379,33;57059491324;24.032,83;610479235156
2011-06-06;24.631,52;593263878368;26.131,32;631329667702;23.095,79;719684113840;26.236,29;5839798013;41.399,99;57108598657;24.037,39;609482813534
2011-06-07;24.618,46;593849611946;26.104,79;633209070123;23.074,81;718201558758;26.222,90;5836805547;41.383,32;57136892002;24.018,18;609364667775
2011-06-08;24.620,36;595288135551;26.104,65;632858093161;23.073,13;718599596605;26.226,34;5837070343;41.381,19;57104539505;24.015,34;608825404040
2011-06-09;24.612,57;595741967969;26.093,89;632933873530;23.065,24;718195003485;26.229,48;5839345499;41.385,26;57089623418;24.012,35;608219331398
2011-06-10;24.628,54;597488161039;26.104,32;633300496379;23.073,24;718414050642;26.234,85;5836757708;41.391,66;57101765338;24.008,72;607260139106
2011-06-11;24.628,54;597488161039;26.104,32;633300496379;23.073,24;718414050642;26.234,85;5836757708;41.391,66;57101765338;24.008,72;607260139106
2011-06-12;24.628,54;597488161039;26.104,32;633300496379;23.073,24;718414050642;26.234,85;5836757708;41.391,66;57101765338;24.008,72;607260139106
2011-06-13;24.631,40;596335662538;25.838,86;625037100090;23.065,86;718488010650;26.236,30;5840961856;41.328,93;56947136619;23.850,46;604206976507
2011-06-14;24.619,87;597541272421;25.830,28;627344943064;23.049,75;718194370157;26.229,45;5842194251;41.326,85;56946314005;23.845,68;605115748048
2011-06-15;24.587,21;598744168313;25.793,89;625284890691;23.020,34;719918818357;26.213,25;5839680913;41.270,26;56431462300;23.814,13;605057250879
2011-06-16;24.571,54;601311917724;25.764,52;631554011062;23.011,68;726756858843;26.202,51;5823158740;41.260,12;56547390774;23.807,54;609433322264
2011-06-17;24.569,35;603248851161;25.753,25;635877166622;23.003,49;731955020427;26.207,92;5829243491;41.250,75;56789462813;23.806,78;613233671974
2011-06-18;24.569,35;603248851161;25.753,25;635877166622;23.003,49;731955020427;26.207,92;5829243491;41.250,75;56789462813;23.806,78;613233671974
2011-06-19;24.569,35;603248851161;25.753,25;635877166622;23.003,49;731955020427;26.207,92;5829243491;41.250,75;56789462813;23.806,78;613233671974
2011-06-20;24.577,01;606649983637;25.774,46;640773008955;23.007,57;736104472741;26.223,49;5833276270;41.274,27;57009837184;23.810,06;616161869742
2011-06-21;24.592,56;612354263174;25.654,57;645185564197;23.013,30;742416636501;26.234,94;5711089392;41.246,32;57038652437;23.734,77;618656770066
2011-06-22;24.610,25;617427977253;25.660,67;651936516587;23.014,74;754846869424;26.250,35;5719832526;41.247,60;57091211725;23.739,51;622360902852
2011-06-23;24.617,20;620942545824;25.667,38;658849040468;23.021,16;762816720977;26.267,57;5723584858;41.259,60;57293367482;23.741,85;624225726553
2011-06-24;24.602,11;625754223348;25.650,69;663428941539;23.012,72;771551341257;26.258,38;5721701966;41.249,52;57596904209;23.738,15;629386698321
2011-06-25;24.602,11;625754223348;25.650,69;663428941539;23.012,72;771551341257;26.258,38;5721701966;41.249,52;57596904209;23.738,15;629386698321
2011-06-26;24.602,11;625754223348;25.650,69;663428941539;23.012,72;771551341257;26.258,38;5721701966;41.249,52;57596904209;23.738,15;629386698321
2011-06-27;24.602,11;625754223348;25.650,69;663428941539;23.012,72;771551341257;26.258,38;5721701966;41.249,52;57596904209;23.738,15;629386698321
2011-06-28;24.599,63;627886567396;25.640,74;665903525827;23.009,78;774990692277;26.277,05;5730146140;41.256,65;57937836944;23.733,31;630721042909
2011-06-29;24.610,51;629618508651;25.651,40;667941855907;23.017,66;778211995612;26.277,74;5745363589;41.268,81;58209422707;23.742,20;628695101067
2011-06-30;24.592,13;631283521745;25.793,64;671868594319;23.006,33;779688638169;26.267,91;5746277257;41.215,50;58521230168;23.731,84;626795588145
2011-07-01;24.601,43;633265805782;25.645,67;667563541145;23.003,00;781707745532;26.270,99;5798489556;41.216,50;58463237539;23.724,68;625457482875
