
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-05-05;17.155,30;68009302740;17.259,19;156074733825;14.957,24;207790378001;28.495,68;25908313527;16.313,42;232172612688;16.056,10;80020564214
2006-05-06;17.155,30;68009302740;17.259,19;156074733825;14.957,24;207790378001;28.495,68;25908313527;16.313,42;232172612688;16.056,10;80020564214
2006-05-07;17.155,30;68009302740;17.259,19;156074733825;14.957,24;207790378001;28.495,68;25908313527;16.313,42;232172612688;16.056,10;80020564214
2006-05-08;17.166,75;67915749242;17.270,25;155888602536;14.961,03;207658458178;28.512,46;25923332165;16.319,74;232229190526;16.063,31;80035690178
2006-05-09;17.178,33;67927444264;17.281,26;155884652007;14.974,21;207837691152;28.527,96;25936696522;16.335,01;232446668326;16.081,57;80129686850
2006-05-10;17.171,32;67721619619;17.278,65;155658605058;14.964,79;207269013608;28.501,93;25830753173;16.329,54;231647279340;16.076,39;80103869746
2006-05-11;17.161,71;67634984651;17.276,35;155412506906;14.960,39;205982256136;28.492,98;25822605064;16.319,79;231529112182;16.065,66;79897119360
2006-05-12;17.164,84;67322553897;17.280,03;154952951831;14.961,75;206000457656;28.495,52;25824510677;16.321,95;231563956172;16.066,67;79895466929
2006-05-13;17.164,84;67322553897;17.280,03;154952951831;14.961,75;206000457656;28.495,52;25824510677;16.321,95;231563956172;16.066,67;79895466929
2006-05-14;17.164,84;67322553897;17.280,03;154952951831;14.961,75;206000457656;28.495,52;25824510677;16.321,95;231563956172;16.066,67;79895466929
2006-05-15;17.160,63;67309699462;17.266,40;154536960900;14.954,61;205632288063;28.488,82;25670973132;16.330,84;229356062568;16.069,85;79472961186
2006-05-16;17.178,79;67495628916;17.275,94;154587738428;14.963,93;205831583897;28.506,82;25686248556;16.339,45;229558048809;16.080,59;78507363011
2006-05-17;17.176,60;66982228637;17.275,90;154315326115;14.963,93;206050314462;28.501,48;25741795027;16.334,43;229548486571;16.079,67;78555771710
2006-05-18;17.177,88;66936630909;17.278,92;153974607267;14.967,50;204345158722;28.504,00;25755799127;16.335,03;229550536830;16.074,85;78535541595
2006-05-19;17.187,74;66761396935;17.292,66;153823177911;14.972,18;204509366583;28.518,28;25772597331;16.342,97;229692269710;16.087,03;78584309058
2006-05-20;17.187,74;66761396935;17.292,66;153823177911;14.972,18;204509366583;28.518,28;25772597331;16.342,97;229692269710;16.087,03;78584309058
2006-05-21;17.187,74;66761396935;17.292,66;153823177911;14.972,18;204509366583;28.518,28;25772597331;16.342,97;229692269710;16.087,03;78584309058
2006-05-22;17.212,66;66910579186;17.313,03;153238842404;14.989,29;204797860127;28.544,13;25794161926;16.359,87;229947434827;16.106,22;78756070690
2006-05-23;17.228,28;67026198968;17.321,02;153154364546;14.997,17;204833076176;28.567,23;25868193325;16.372,09;230301464634;16.116,07;78755717795
2006-05-24;17.216,98;66462070953;17.314,95;152691447444;14.993,47;204780129419;28.541,09;25852756282;16.366,73;230382575396;16.108,20;78728514398
2006-05-25;17.215,03;66467041597;17.311,55;153532189005;14.990,63;204787724789;28.541,85;25857944069;16.360,82;230387811656;16.102,94;78702167469
2006-05-26;17.214,45;66372956626;17.319,91;153645417339;14.991,69;205512811337;28.548,64;25870176954;16.361,10;230433066608;16.103,72;78709412356
2006-05-27;17.214,45;66372956626;17.319,91;153645417339;14.991,69;205512811337;28.548,64;25870176954;16.361,10;230433066608;16.103,72;78709412356
2006-05-28;17.214,45;66372956626;17.319,91;153645417339;14.991,69;205512811337;28.548,64;25870176954;16.361,10;230433066608;16.103,72;78709412356
2006-05-29;17.220,75;66414582675;17.326,86;153651576298;14.998,17;205672811334;28.559,73;25903936612;16.367,90;228326529866;16.113,98;78841314223
