
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-04-20;18.352,96;4660624764251;20.743,85;3688209389938;20.053,71;5206616750882;37.709,90;755150606384;18.356,56;7070346958974
2009-04-21;18.270,68;4641678671127;20.663,50;3675617153698;19.953,89;5184642463147;37.543,05;752319586458;18.278,63;7040056979358
2009-04-22;18.289,07;4648754179896;20.684,70;3680991004067;19.988,13;5194279201794;37.561,57;752949154739;18.306,23;7051638444840
2009-04-23;18.322,56;4657941265353;20.725,66;3690189814711;20.030,13;5207407854657;37.654,25;754766929661;18.337,39;7064805616264
2009-04-24;18.358,68;4668073045777;20.758,85;3697482323962;20.073,51;5219382714526;37.734,88;756366070885;18.373,55;7079357967683
2009-04-25;18.358,68;4668073045777;20.758,85;3697482323962;20.073,51;5219382714526;37.734,88;756366070885;18.373,55;7079357967683
2009-04-26;18.358,68;4668073045777;20.758,85;3697482323962;20.073,51;5219382714526;37.734,88;756366070885;18.373,55;7079357967683
2009-04-27;18.435,97;4688693499869;20.847,33;3716221534644;20.157,18;5241531727336;37.911,03;760002757129;18.448,25;7109887192380
2009-04-28;18.398,81;4679709620457;20.794,89;3708662537802;20.115,53;5231416914719;37.862,37;759218085859;18.415,29;7097078263422
2009-04-29;18.368,41;4671562105511;20.761,50;3703093552574;20.078,65;5222532257621;37.785,87;757848445523;18.384,39;7085997644966
2009-04-30;18.483,09;4698409959859;20.915,41;3729211833224;20.214,01;5256379892653;38.006,05;760969004263;18.496,93;7130053129893
2009-05-01;18.483,09;4698409959859;20.915,41;3729211833224;20.214,01;5256379892653;38.006,05;760969004263;18.496,93;7130053129893
2009-05-02;18.483,09;4698409959859;20.915,41;3729211833224;20.214,01;5256379892653;38.006,05;760969004263;18.496,93;7130053129893
2009-05-03;18.483,09;4698409959859;20.915,41;3729211833224;20.214,01;5256379892653;38.006,05;760969004263;18.496,93;7130053129893
2009-05-04;18.544,83;4714196929574;20.979,41;3743674620389;20.255,44;5268992381993;38.104,85;761122575213;18.548,59;7148595664106
2009-05-05;18.671,08;4746522851630;21.112,13;3766219832782;20.380,24;5302100128419;38.332,88;767720752638;18.669,25;7195327995119
2009-05-06;18.715,55;4757539942378;21.185,85;3779470772680;20.456,94;5321532295947;38.440,34;769953075876;18.711,82;7212061475035
2009-05-07;18.810,64;4782083841928;21.292,32;3797902556977;20.572,36;5351565621255;38.641,69;773909959791;18.803,43;7246339249054
2009-05-08;18.804,37;4781329214626;21.300,22;3799409171839;20.561,64;5351639890574;38.636,37;773724465199;18.804,46;7245148622983
2009-05-09;18.804,37;4781329214626;21.300,22;3799409171839;20.561,64;5351639890574;38.636,37;773724465199;18.804,46;7245148622983
2009-05-10;18.804,37;4781329214626;21.300,22;3799409171839;20.561,64;5351639890574;38.636,37;773724465199;18.804,46;7245148622983
2009-05-11;18.926,73;4814260405819;21.409,46;3820531210831;20.684,91;5387606758907;38.876,17;779105305316;18.917,03;7290444945381
2009-05-12;18.897,03;4808656957891;21.375,29;3813499300430;20.673,32;5387170345828;38.861,44;778572602650;18.898,04;7285556101624
2009-05-13;18.895,70;4809254729574;21.373,70;3816974650287;20.667,57;5390846730175;38.875,35;779093081140;18.895,52;7285380867156
