
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-03-24;10.412,21;63335046978;10.259,80;109485186936;10.428,06;7405221924;10.418,09;5362535060;10.486,49;97051125661;10.270,02;38154307530;10.441,80;61550605107
2003-03-25;10.461,77;63626726126;10.327,74;110209414193;10.459,81;7430143962;10.476,54;5395713524;10.557,08;97702857515;10.330,27;38362392317;10.510,92;61956908847
2003-03-26;10.343,40;63027637335;10.210,27;108964340505;10.373,04;7374052143;10.372,04;5344539605;10.427,14;96498500590;10.225,76;38081331768;10.382,43;61199950047
2003-03-27;10.350,75;64273290926;10.221,24;110089041955;10.378,62;7392469216;10.375,36;5678473729;10.452,62;98036419084;10.232,38;38818762496;10.398,46;61742343279
2003-03-28;10.375,86;64502006056;10.243,99;110333169922;10.403,44;7412248302;10.403,71;5658936631;10.482,36;99107924652;10.260,52;38924962012;10.422,63;61905111084
2003-03-29;10.375,86;64502006056;10.243,99;110333169922;10.403,44;7412248302;10.403,71;5658936631;10.482,36;99107924652;10.260,52;38924962012;10.422,63;61905111084
2003-03-30;10.375,86;64502006056;10.243,99;110333169922;10.403,44;7412248302;10.403,71;5658936631;10.482,36;99107924652;10.260,52;38924962012;10.422,63;61905111084
2003-03-31;10.348,25;64347720991;10.206,53;110402820988;10.380,39;7395254678;10.366,57;5638743191;10.437,55;98717992433;10.233,59;38924797395;10.378,74;61833030288
2003-04-01;10.353,82;64385060648;10.221,85;110568019457;10.393,74;7404664510;10.388,06;5650434162;10.466,39;98990068768;10.253,91;38984952024;10.393,57;61921434027
2003-04-02;10.274,40;63892599845;10.146,04;109207272536;10.344,49;7369581485;10.315,17;5610816963;10.371,81;98094141311;10.175,84;38687563959;10.317,15;61463650726
2003-04-03;10.236,30;63654641388;10.113,41;108876464934;10.316,36;7349543897;10.271,43;5587024221;10.346,06;97849621871;10.138,94;38546735713;10.287,01;61178789442
2003-04-04;10.322,30;63699197923;10.210,71;109924751999;10.399,09;7366319523;10.361,78;5636318079;10.455,00;98887494312;10.227,74;38896156178;10.379,46;61728629249
2003-04-05;10.322,30;63699197923;10.210,71;109924751999;10.399,09;7366319523;10.361,78;5636318079;10.455,00;98887494312;10.227,74;38896156178;10.379,46;61728629249
2003-04-06;10.322,30;63699197923;10.210,71;109924751999;10.399,09;7366319523;10.361,78;5636318079;10.455,00;98887494312;10.227,74;38896156178;10.379,46;61728629249
2003-04-07;10.358,46;63922639003;10.241,87;110303273889;10.426,85;7386217532;10.394,61;5654173761;10.466,58;98898365629;10.253,91;38995001987;10.404,06;61874428881
2003-04-08;10.376,66;64037372990;10.265,64;110618779451;10.438,33;7394417194;10.401,92;5658149503;10.478,04;99004821488;10.267,54;38971206290;10.429,78;62016895490
2003-04-09;10.448,08;64481332782;10.346,74;111484370881;10.504,05;7440974940;10.486,37;5704086662;10.554,27;99723324611;10.339,45;39254611761;10.510,63;62631926924
2003-04-10;10.462,06;64569001691;10.345,95;111475468881;10.523,44;7454916480;10.492,71;5707001723;10.562,83;99803164204;10.344,91;39274513180;10.510,88;62637256753
2003-04-11;10.501,33;64813765077;10.375,82;111795671924;10.568,11;7487323729;10.519,16;5809631265;10.590,40;100062247326;10.376,05;39395390766;10.532,50;62760873246
2003-04-12;10.501,33;64813765077;10.375,82;111795671924;10.568,11;7487323729;10.519,16;5809631265;10.590,40;100062247326;10.376,05;39395390766;10.532,50;62760873246
2003-04-13;10.501,33;64813765077;10.375,82;111795671924;10.568,11;7487323729;10.519,16;5809631265;10.590,40;100062247326;10.376,05;39395390766;10.532,50;62760873246
2003-04-14;10.502,75;64830072927;10.370,83;111967868004;10.595,85;7508461990;10.521,91;5812908856;10.604,04;100188873724;10.388,41;39442051267;10.541,61;62823229642
2003-04-15;10.519,00;64935967863;10.400,89;112280663625;10.623,47;7530480570;10.554,89;5831422214;10.623,66;100415299290;10.418,78;39558639604;10.570,92;62994604190
2003-04-16;10.607,88;66200540309;10.475,08;113321167571;10.681,40;7686900811;10.612,76;6027205958;10.687,75;102188555407;10.479,27;39880246384;10.644,11;63422243144
2003-04-17;10.661,01;66553649226;10.533,58;113953609831;10.726,36;7722830268;10.669,40;6067837345;10.740,79;102695983776;10.536,19;40104141765;10.700,29;63757507515
2003-04-18;10.661,01;66553649226;10.533,58;113953609831;10.726,36;7722830268;10.669,40;6067837345;10.740,79;102695983776;10.536,19;40104141765;10.700,29;63757507515
2003-04-19;10.661,01;66553649226;10.533,58;113953609831;10.726,36;7722830268;10.669,40;6067837345;10.740,79;102695983776;10.536,19;40104141765;10.700,29;63757507515
2003-04-20;10.661,01;66553649226;10.533,58;113953609831;10.726,36;7722830268;10.669,40;6067837345;10.740,79;102695983776;10.536,19;40104141765;10.700,29;63757507515
2003-04-21;10.662,78;66581311347;10.527,25;113883670654;10.725,61;7723933675;10.676,03;6071604962;10.747,01;102788923378;10.543,87;40133199026;10.711,79;63849406888
2003-04-22;10.703,81;66857463413;10.576,89;114419458924;10.763,83;7755149833;10.717,36;6094974310;10.805,88;103350877676;10.591,27;40312057946;10.761,12;64197609166
2003-04-23;10.748,06;67190507522;10.619,51;115166910508;10.803,97;7787621423;10.745,92;6113450991;10.836,12;103639556815;10.611,30;40313038136;10.788,08;64761152368
2003-04-24;10.780,15;67452329932;10.649,55;115094368234;10.834,11;7795266404;10.774,97;6129992923;10.864,99;103913222342;10.641,86;40428543464;10.814,51;65055735144
2003-04-25;10.855,31;68003712325;10.718,95;115980451193;10.898,23;7816212695;10.847,89;6173236536;10.951,56;104739053425;10.713,22;40883845569;10.878,88;65509663976
2003-04-26;10.855,31;68003712325;10.718,95;115980451193;10.898,23;7816212695;10.847,89;6173236536;10.951,56;104739053425;10.713,22;40883845569;10.878,88;65509663976
2003-04-27;10.855,31;68003712325;10.718,95;115980451193;10.898,23;7816212695;10.847,89;6173236536;10.951,56;104739053425;10.713,22;40883845569;10.878,88;65509663976
2003-04-28;10.864,96;68630290313;10.729,02;116045103598;10.916,72;7832330479;10.856,40;6189022325;10.960,87;105016481918;10.710,56;40873024536;10.891,04;65583290107
2003-04-29;10.800,63;68279976899;10.677,97;115523417064;10.894,23;7824547707;10.811,03;6172288810;10.912,44;105321630525;10.660,83;40682919983;10.837,15;65867508441
2003-04-30;10.884,53;68937464390;10.757,97;116845191347;10.970,68;7879450325;10.881,19;6216721281;10.991,59;106082434116;10.730,00;41019119516;10.916,10;66417848639
2003-05-01;10.884,53;68937464390;10.757,97;116845191347;10.970,68;7879450325;10.881,19;6216721281;10.991,59;106082434116;10.730,00;41019119516;10.916,10;66417848639
