fecha,fondo,administradora,valor cuota,valor patrimonio
2020-02-07,A,UNO,54643.05,14887213513.0
2020-02-08,A,CAPITAL,50883.03,4214629339535.0
2020-02-08,A,CUPRUM,53349.26,5253183120061.0
2020-02-08,A,HABITAT,54190.96,6146297163876.0
2020-02-08,A,MODELO,52703.52,1250612395416.0
2020-02-08,A,PLANVITAL,49502.71,534935068759.0
2020-02-08,A,PROVIDA,53257.54,4396357649765.0
2020-02-08,A,UNO,54643.05,14887213513.0
2020-02-09,A,CAPITAL,50883.03,4214629339535.0
2020-02-09,A,CUPRUM,53349.26,5253183120061.0
2020-02-09,A,HABITAT,54190.96,6146297163876.0
2020-02-09,A,MODELO,52703.52,1250612395416.0
2020-02-09,A,PLANVITAL,49502.71,534935068759.0
2020-02-09,A,PROVIDA,53257.54,4396357649765.0
2020-02-09,A,UNO,54643.05,14887213513.0
2020-02-10,A,CAPITAL,51016.33,4227497769955.0
2020-02-10,A,CUPRUM,53482.92,5273179830760.0
2020-02-10,A,HABITAT,54318.81,6163206936784.0
2020-02-10,A,MODELO,52822.52,1255371232669.0
2020-02-10,A,PLANVITAL,49620.12,536518859560.0
2020-02-10,A,PROVIDA,53384.34,4409525982618.0
2020-02-10,A,UNO,54809.82,14969809771.0
2020-02-11,A,CAPITAL,51254.78,4249290165399.0
2020-02-11,A,CUPRUM,53707.85,5297876677575.0
2020-02-11,A,HABITAT,54575.28,6199593312658.0
2020-02-11,A,MODELO,53033.39,1262258124777.0
2020-02-11,A,PLANVITAL,49831.08,539128406177.0
2020-02-11,A,PROVIDA,53605.6,4431111381818.0
2020-02-11,A,UNO,55048.94,15049320602.0
2020-02-12,A,CAPITAL,51470.38,4280327846492.0
2020-02-12,A,CUPRUM,53924.76,5321464598719.0
2020-02-12,A,HABITAT,54798.15,6234857859495.0
2020-02-12,A,MODELO,53236.46,1268778994599.0
2020-02-12,A,PLANVITAL,50036.41,541550264042.0
2020-02-12,A,PROVIDA,53834.62,4453637955474.0
2020-02-12,A,UNO,55234.4,15139101261.0
2020-02-13,A,CAPITAL,51559.53,4294350630120.0
2020-02-13,A,CUPRUM,54017.76,5334569236553.0
2020-02-13,A,HABITAT,54892.48,6254021825821.0
2020-02-13,A,MODELO,53330.03,1272814506477.0
2020-02-13,A,PLANVITAL,50115.77,542947112366.0
2020-02-13,A,PROVIDA,53934.03,4465786785974.0
2020-02-13,A,UNO,55312.0,15188581388.0
2020-02-14,A,CAPITAL,51756.85,4343010875449.0
2020-02-14,A,CUPRUM,54236.41,5369241845320.0
2020-02-14,A,HABITAT,55118.57,6312652859573.0
2020-02-14,A,MODELO,53544.46,1283057802825.0
2020-02-14,A,PLANVITAL,50313.43,545802556317.0
2020-02-14,A,PROVIDA,54148.02,4491180352761.0
2020-02-14,A,UNO,55506.78,15402695224.0
2020-02-15,A,CAPITAL,51756.85,4343010875449.0
2020-02-15,A,CUPRUM,54236.41,5369241845320.0
2020-02-15,A,HABITAT,55118.57,6312652859573.0
2020-02-15,A,MODELO,53544.46,1283057802825.0
2020-02-15,A,PLANVITAL,50313.43,545802556317.0
2020-02-15,A,PROVIDA,54148.02,4491180352761.0
2020-02-15,A,UNO,55506.78,15402695224.0
2020-02-16,A,CAPITAL,51756.85,4343010875449.0
2020-02-16,A,CUPRUM,54236.41,5369241845320.0
2020-02-16,A,HABITAT,55118.57,6312652859573.0
2020-02-16,A,MODELO,53544.46,1283057802825.0
2020-02-16,A,PLANVITAL,50313.43,545802556317.0
2020-02-16,A,PROVIDA,54148.02,4491180352761.0
2020-02-16,A,UNO,55506.78,15402695224.0
2020-02-17,A,CAPITAL,51653.69,4359064921898.0
2020-02-17,A,CUPRUM,54123.34,5354977403478.0
2020-02-17,A,HABITAT,55009.06,6319692711559.0
2020-02-17,A,MODELO,53416.71,1282680139434.0
2020-02-17,A,PLANVITAL,50204.41,549865818350.0
2020-02-17,A,PROVIDA,54026.91,4484518818690.0
2020-02-17,A,UNO,55343.0,16386120420.0
2020-02-18,A,CAPITAL,51618.47,4362244285485.0
2020-02-18,A,CUPRUM,54087.0,5358008633764.0
